"o1","o2","e1","e2","chisq","word","name","num","match","name2"
8,17,0.265953150242326,24.7340468497577,41.7131360450167,"desk","X150.The.Nap",58,FALSE,"X150 The Nap"
9,15,0.233893206317373,23.7661067936826,51.8957657019649,"jokes","X151.The.Yada.Yada",59,FALSE,"X151 The Yada Yada"
5,41,0.410591403211329,45.5894085967887,16.2954711135584,"hang","X152.The.Millennium",60,FALSE,"X152 The Millennium"
12,36,0.533170857450847,47.4668291425492,54.8228019244474,"bus","X153.The.Muffin.Tops",61,FALSE,"X153 The Muffin Tops"
10,14,0.2184176099198,23.7815823900802,61.6427151318597,"arms","X154.The.Summer.of.George",62,FALSE,"X154 The Summer of George"
7,9,0.1517823774044,15.8482176225956,43.4520629007788,"butter","X155.The.Butter.Shave",63,TRUE,"X155 The Butter Shave"
11,35,0.501651642380835,45.4983483576192,49.5674239957197,"voice","X156.The.Voice",64,TRUE,"X156 The Voice"
7,23,0.266593365115573,29.7334066348844,33.9394306938869,"lippman","X157.The.Serenity.Now",65,FALSE,"X157 The Serenity Now"
26,13,0.392761414870706,38.6072385851293,189.717021601072,"blood","X158.The.Blood",66,TRUE,"X158 The Blood"
16,19,0.291450568566182,34.7085494314338,105.278366516771,"van","X159.The.Junk.Mail",67,FALSE,"X159 The Junk Mail"
5,22,0.244769270265066,26.7552307297349,21.55851993088,"wine","X160.The.Merv.Griffin.Show",69,FALSE,"X160 The Merv Griffin Show"
8,23,0.334998031693593,30.6650019683064,37.5382764128663,"cancer","X161.The.Slicer",70,FALSE,"X161 The Slicer"
17,54,0.761402938650449,70.2385970613495,77.2026969262992,"wish","X162.The.Betrayal",71,FALSE,"X162 The Betrayal"
15,53,0.588731909028256,67.4112680909717,71.639887978086,"naked","X163.The.Apology",72,FALSE,"X163 The Apology"
8,21,0.305914799463991,28.694085200536,39.1111629740417,"fake","X164.The.Strike",73,FALSE,"X164 The Strike"
13,22,0.421328992020545,34.5786710079795,69.2649948835389,"candy","X165.The.Dealership",74,FALSE,"X165 The Dealership"
22,44,0.713525026624068,65.2864749733759,116.133146849902,"coat","X166.The.Reverse.Peephole",75,FALSE,"X166 The Reverse Peephole"
8,44,0.509157631359466,51.4908423686405,30.2361647123519,"gum","X167.The.Cartoon",76,FALSE,"X167 The Cartoon"
12,31,0.324123480685057,42.6758765193149,66.8588075261359,"key","X168.The.Strong.Box",77,FALSE,"X168 The Strong Box"
12,49,0.496507382802815,60.5034926171972,55.7752079588097,"black","X169.The.Wizard",78,FALSE,"X169 The Wizard"
12,259,2.26681822520326,268.733181774797,20.8872021218589,"hell","X170.The.Burning",80,FALSE,"X170 The Burning"
19,56,0.687138271199944,74.3128617288001,94.4586079321197,"leo","X171.The.Bookstore",81,FALSE,"X171 The Bookstore"
15,22,0.385948810445415,36.6140511895546,87.3898785163193,"get well","X172.The.Frogger",82,FALSE,"X172 The Frogger"
10,146,1.59237920130606,154.407620798694,20.3982201699096,"number","X173.The.Maid",83,FALSE,"X173 The Maid"
5,22,0.286894413907708,26.7131055860923,20.0398685394746,"golf","X174.The.Puerto.Rican.Day",84,FALSE,"X174 The Puerto Rican Day"
10,37,0.629556889398888,46.3704431106011,38.6014017193449,"nbc","X175.The.Finale.Part.1",85,FALSE,"X175 The Finale Part 1"
