"speaker","words","episode","num"
"JERRY","I told you about Laura, the girl I met in Michigan?","good-news,-bad-news",1
"GEORGE","No, you didn't!","good-news,-bad-news",1
"JERRY","I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...(looks in the milk can) There's no milk in here, what...","good-news,-bad-news",1
"GEORGE","Wait wait wait, what is she, (takes the milk can from Jerry and puts it on the table) what is she like?","good-news,-bad-news",1
"JERRY","Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh...the conversation though, I mean, it was...talking with her is like talking with you, but, ya know, obviously much better.","good-news,-bad-news",1
"GEORGE","(with a big smile) So, ya know, what, what happened?","good-news,-bad-news",1
"JERRY","Oh, nothing happened, ya know, but it was great.","good-news,-bad-news",1
"GEORGE","Oh, nothing happened, but it was...","good-news,-bad-news",1
"JERRY","Yeah.","good-news,-bad-news",1
"GEORGE","This is great!","good-news,-bad-news",1
"JERRY","Yeah.","good-news,-bad-news",1
"GEORGE","So, ya know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!","good-news,-bad-news",1
"JERRY","Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together.","good-news,-bad-news",1
"GEORGE","(whistles disapproving) Ho ho ho, ""Had to""? ""Had to come in""?","good-news,-bad-news",1
"JERRY","Yeah, but...","good-news,-bad-news",1
"GEORGE","""Had to come in"" and ""maybe we'll get together""? ""Had to"" and ""Maybe""?","good-news,-bad-news",1
"JERRY","Yeah!","good-news,-bad-news",1
"GEORGE","No...no...no, I hate to tell you this: you're not gonna see this woman.","good-news,-bad-news",1
"JERRY","(indignant) What, are you serious...why, why did she call?","good-news,-bad-news",1
"GEORGE","How do I know, maybe, ya know, maybe she wanted to be polite.","good-news,-bad-news",1
"JERRY","To be polite? You are insane!","good-news,-bad-news",1
"GEORGE","All right, all right, I didn't want to tell you this, you wanna know why she called you?","good-news,-bad-news",1
"JERRY","Yes!","good-news,-bad-news",1
"GEORGE","You're a back-up, you're a second-line, a just-in-case, a B-plan of contingency!","good-news,-bad-news",1
"JERRY","Oh, I get it, this is about the button.","good-news,-bad-news",1
"GEORGE","(The waitress(Claire) passes the table; George stops her and writes something on his note-block) Claire, Claire, you're a woman, right?","good-news,-bad-news",1
"CLAIRE","What gave it away, George?","good-news,-bad-news",1
"GEORGE","Uhm...I'd like to ask you...ask you to analyze a hypothetical phone call, ya know, from a female point of view.","good-news,-bad-news",1
"JERRY","(to George) Oh, come on now, what are you asking her? Now, how is she gonna know?","good-news,-bad-news",1
"GEORGE","(to Claire) Now, a woman calls me, all right? She says she has to (makes some gestures to accent ""has to"") come to New York on business...","good-news,-bad-news",1
"JERRY","Oh you are beautiful! (ironically)","good-news,-bad-news",1
"GEORGE","and, and maybe (again some gestures) she'll see me when she gets there, does this woman intend to spend time with me?","good-news,-bad-news",1
"CLAIRE","I'd have to say: uuhh, no. (George shows his note-block to Jerry, it says very largely: NO)","good-news,-bad-news",1
"GEORGE","(to Claire) So why did she call?","good-news,-bad-news",1
"CLAIRE","To be polite.","good-news,-bad-news",1
"GEORGE","To be polite, I rest my case.","good-news,-bad-news",1
"JERRY","Good. Did you have fun? You have no idea, what you're talking about, now, come on, come with me (stands up), I, I gotta go get my stuff out of the dryer anyway.","good-news,-bad-news",1
"GEORGE","I'm not gonna watch you do laundry.","good-news,-bad-news",1
"JERRY","Oh, come on, be a ""come-with-guy"".","good-news,-bad-news",1
"GEORGE","Come on, I'm tired.","good-news,-bad-news",1
"CLAIRE","(to Jerry) Don't worry, I gave him a little caffeine: he'll perk up.","good-news,-bad-news",1
"GEORGE","(takes off his glasses and rubs his eyes; panics) Right, I knew I felt something...! (Jerry is laughing, Claire walks away with a smile)","good-news,-bad-news",1
"GEORGE","Jerry? I have to tell ya somethin':...this is the dullest moment I've ever experienced. (walks away from the dryer; a man passes George and Jerry)","good-news,-bad-news",1
"JERRY","Well, look at this guy! Look, he's got everything, he's got: detergents, sprays, fabric softeners; this is not his first load.","good-news,-bad-news",1
"GEORGE","I need a break, Jerry, ya know, I gotta get out of the city, I feel so cramped...","good-news,-bad-news",1
"JERRY","And you didn't even hear how she sounded.","good-news,-bad-news",1
"GEORGE","What?!","good-news,-bad-news",1
"JERRY","Laura.","good-news,-bad-news",1
"GEORGE","I can't believe: (falls on his knees) WE ALREADY DISCUSSED THIS!","good-news,-bad-news",1
"JERRY","Yeah, but how could you be so sure?","good-news,-bad-news",1
"GEORGE","(gets up) 'Cause it's signals, Jerry (starts snapping his fingers), it's signals! Don't you....all right. Did she even ask you, what you were doin' tomorrow night, if you were busy?","good-news,-bad-news",1
"JERRY","No.","good-news,-bad-news",1
"GEORGE","She calls you today and she doesn't make a plan for tomorrow? What is that? It's Saturday night!","good-news,-bad-news",1
"JERRY","Yeah.","good-news,-bad-news",1
"GEORGE","What is that? It's ridiculous! (Jerry bobs agreeingly) You don't even know, what hotel she's staying at, you can't call her. That's a signal, Jerry, that's a signal! (snaps his fingers again) Signal!","good-news,-bad-news",1
"JERRY","Maybe you're right.","good-news,-bad-news",1
"GEORGE","Maybe I'm right? Of course I'm right.","good-news,-bad-news",1
"JERRY","This is insane. You know, I don't even know where she's staying! She, she's not gonna call me, this is unbelievable.","good-news,-bad-news",1
"GEORGE","(puts an arm around Jerry and whispers) I know, I know. (normal voice) Listen, your stuff has to be done by know, why don't you just see if it's dried?","good-news,-bad-news",1
"JERRY","No no no, don't interrupt the cycle. The machine is working, it, it knows what it's doing, just let it finish.","good-news,-bad-news",1
"GEORGE","You're gonna ""overdry"" it.","good-news,-bad-news",1
"JERRY","You, you can't ""overdry"".","good-news,-bad-news",1
"GEORGE","Why not?","good-news,-bad-news",1
"JERRY","Same as you can't ""overwet"". (George looks puzzled) You see, once something is wet, it's wet. Same thing with dead: like once you die you're dead, right? Let's say you drop dead and I shoot you: you're not gonna die again, you're already dead. You can't ""overdie"", you can't ""overdry"".","good-news,-bad-news",1
"GEORGE","(looks at the other persons in the laundry and says to them pointing to Jerry) Any questions?","good-news,-bad-news",1
"JERRY","How could she not tell me where she was staying? (George stands by the dryer again and secretly opens it: the dryer stops working and George closes the lid)","good-news,-bad-news",1
"GEORGE","(points to the dryer) Look at that: they're done! It's a miracle! (Jerry looks surprised)","good-news,-bad-news",1
"JERRY","""Laundry-day"" is the only exciting day in the live of clothes. It is...no, think about it: the washing machine is the nightclub of clothes. Ya know, it's dark, there's bubbles happening, they're all kind a dancing around in there...shirt grabs the underwear: ""C'mon babe, let's gather"". You come by, you open up the lid and they'll: (shows how clothes are acting when you open the lid)...Socks are the most amazing article of clothing. They hate their lives, they're in the shoes with stinky feet, the boring drawers...the dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper, the night before: (sock's voice) ""Tomorrow, the dryer, I'm goin'...you wait here!"" The dryer-door swings open and the sock is waiting up against the side wall. They hope you don't see him and then he goes down the road (shows how the sock is going down the road). They got buttons sewed on their faces: join the puppet show...So they're showing me on television the detergent for getting out blood-stains...Is this a violent image to anybody? Blood-stains? I mean, I, come on, you got a T-shirt with blood-stains all over it, maybe laundry isn't your biggest problem right now...Maybe you oughta get the harpoon out your chest first.","good-news,-bad-news",1
"JERRY","(The phone rings. He picks it up and says:) If you know what happened in the Mets-game, don't say anything, I taped it, hello... Yeah, no, I'm sorry, you have the wrong number...Yeah, no (somebody knocks at the door) Yeah? (to the door, while still at the phone)","good-news,-bad-news",1
"KRAMER","(enters) Are you up?","good-news,-bad-news",1
"JERRY","(To Kramer) Yeah...(in the phone) Yeah, people do move! Have you ever seen the big trucks out on the street? Yeah, no problem (hangs up the phone).","good-news,-bad-news",1
"KRAMER","Boy, the Mets blew it tonight, huh?","good-news,-bad-news",1
"JERRY","(upset) Ooohhhh, what are you doing? Kramer, it's a tape! (actually I can't understand the name; maybe ""Kramer"" wasn't named ""Kramer"" in the pilot!) I taped the game, it's one o'clock in the morning! I avoided human contact all night to watch this.","good-news,-bad-news",1
"KRAMER","Hey, I'm sorry, I...ya know, I, I thought you knew...(takes two loaves of bread out of his pockets) You got any meat?","good-news,-bad-news",1
"JERRY","(a little irritated) Meat? I don't, I don't know, go...hunt! (Kramer walks to the refrigerator and sticks his head in) Well what, what happened in the game anyway?","good-news,-bad-news",1
"KRAMER","(still with his head in the refrigerator) What happened? Well, they STUNK, that's what happened! (takes some meat from the refrigerator and closes it) Ya know, I almost wound up going to that game.","good-news,-bad-news",1
"JERRY","(cynical) Yeah you almost went to the game. You haven't been out of the building in ten years!","good-news,-bad-news",1
"KRAMER","Yeah. (Jerry sits down on the couch. Kramer sits down next to him and starts turning over the pages of a magazine. Suddenly he spots an article he likes and tears it out. Jerry looks at him with a ""what-the-h...-are-you-doing-look"" and Kramer asks:) Are you done with this?","good-news,-bad-news",1
"JERRY","No.","good-news,-bad-news",1
"KRAMER","(glues the article back with his own saliva and puts the magazine back on the table) When you're done, let me know.","good-news,-bad-news",1
"JERRY","Yeah, yeah...you can have it tomorrow.","good-news,-bad-news",1
"KRAMER","I thought I wasn't allowed to be in here this weekend.","good-news,-bad-news",1
"JERRY","No, it's OK now, that, that girl is not comin' uh, I, I misread the whole thing.","good-news,-bad-news",1
"KRAMER","You want me to talk to her?","good-news,-bad-news",1
"JERRY","I don't think so.","good-news,-bad-news",1
"KRAMER","Oh, I can be very persuasive. Do you know that I was almost... a lawyer. (shows with his fingers how close it was)","good-news,-bad-news",1
"JERRY","That close, huh?","good-news,-bad-news",1
"KRAMER","You better believe it. (The phone rings. Jerry picks it up)","good-news,-bad-news",1
"JERRY","Hello...Oh, hi, Laura.","good-news,-bad-news",1
"KRAMER","Give me it...let me talk to her (continues this way).","good-news,-bad-news",1
"JERRY","(gestures Kramer to shut up) No believe me, I'm always up at this hour. How are you?...great...sure...What time does the plane get in?...I got my friend George to take me...(Kramer suddenly notices something in the Mets-game on TV)...","good-news,-bad-news",1
"KRAMER","A SLIDE!...Wow!","good-news,-bad-news",1
"JERRY","...No, it's, it's just my neighbour...uhm...yeah, I got it (takes a pencil and a cereal box to write on) ten-fifteen...No, don't be silly, go ahead and ask...Yeah, sure...OK, great, no no, it's no trouble at all...I'll see you tomorrow...great, bye. (hangs up the phone; to Kramer:) I, I don't believe it...That, that was her. She wants to stay here!","good-news,-bad-news",1
"JERRY","If my father was moving this he'd had to have a cigarette in his mouth the whole way. (talks from now on like he has a cigarette in his mouth) Have you got your end?...Your end's got to come down first, easy now, drop it down...drop it down, your end's got to come down.","good-news,-bad-news",1
"GEORGE","Ya know, I can't believe you're bringin' in an extra bed for woman, that wants to sleep with you. Why don't you bring in an extra guy too? (sits down)","good-news,-bad-news",1
"JERRY","(hands George a beer) Look, it's a very awkward situation, I, I don't wanna be presumptuous.","good-news,-bad-news",1
"GEORGE","All right, all right, one more time, one more time! What was the EXACT phrasing of the request?","good-news,-bad-news",1
"JERRY","All right, she said she couldn't find a decent hotel- room...","good-news,-bad-news",1
"GEORGE","A decent hotel-room...","good-news,-bad-news",1
"JERRY","Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place.","good-news,-bad-news",1
"GEORGE","You can't be serious. This is New York city: there must be eleven million decent hotel-rooms! Whatta ya need? A flag? (waves with his handkerchief) This is the signal, Jerry, this is the signal!","good-news,-bad-news",1
"JERRY","(cynical) This is the signal. Thank you, mister Signal, where were you yesterday?","good-news,-bad-news",1
"GEORGE","I think I was affected by the caffeine. (suddenly a dog enters the apartment and jumps George at the couch) HO, HO, HO, GOOD DOG (etc.)","good-news,-bad-news",1
"KRAMER","(walks in behind the dog and closes the door) He really likes you, George.","good-news,-bad-news",1
"GEORGE","(ironically) Well, that's flattering.","good-news,-bad-news",1
"KRAMER","(the dog runs to the bathroom and apparently starts drinking from the toilet) Oh, he's getting' a drink of water. (sees the mattress on the floor) Is this for that girl?","good-news,-bad-news",1
"JERRY","Yeah.","good-news,-bad-news",1
"KRAMER","Why even give her an option?","good-news,-bad-news",1
"JERRY","This is a person I like, it's not: ""How to score on spring break"".","good-news,-bad-news",1
"GEORGE","Right, can we go? 'Cause I'm double-parked, I'm gonna get a ticket.","good-news,-bad-news",1
"JERRY","Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the bathroom.","good-news,-bad-news",1
"GEORGE","So what? That's good.","good-news,-bad-news",1
"JERRY","Now, how could that be good?","good-news,-bad-news",1
"GEORGE","Because filth is good...Whatta you think: rock stars have sponges and ammonia lyin' around the bathroom? They, they have a woman comin' over: ""I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.","good-news,-bad-news",1
"JERRY","This is how you operate?","good-news,-bad-news",1
"GEORGE","Yeah, I wish.","good-news,-bad-news",1
"JERRY","Let me just wipe the sink.","good-news,-bad-news",1
"KRAMER","(stands up from the couch and yells.) WHY EVEN GIVE HER AN OPTION FOR? (Jerry walks to the bathroom and closes the door; to George, while pointing to the mattress) It's unbelievable.","good-news,-bad-news",1
"GEORGE","Yeah.","good-news,-bad-news",1
"KRAMER","...How's the real estate-business?","good-news,-bad-news",1
"GEORGE","...(surprised he asked) It's uh, not bad, it's comin' along...Why? Did you need something.","good-news,-bad-news",1
"KRAMER","Do you handle any of that commercial...real estate?","good-news,-bad-news",1
"GEORGE","Well, I might be getting in to that.","good-news,-bad-news",1
"KRAMER","(slaps George on the arm) You keep me posted!","good-news,-bad-news",1
"GEORGE","I'm aware of you, all right, let's go (opens the bathroom door), let's go! (Jerry and the dog come out) You're on stage in 25 minutes.","good-news,-bad-news",1
"JERRY","The dating world is not a fun world...it's a pressure world, it's a world of tension, it's a world of pain...and ya know, if a woman comes over to my house, I gotta get that bathroom ready, 'cause she needs things. Women need equipment. I don't know what they need. I know I don't have it, I know that...Ya know what they need, women seem to need a lot of cotton-balls. This is the one I'm, always has been one of the amazing things to me...I have no cotton-balls, we're all human beings, what is the story? I've never had one...I never bought one, I never needed one, I've never been in a situation, when I thought to myself: ""I could use a cotton-ball right now""...I can certainly get out of this mess...Women need them and they don't need one or two, they need thousands of them, they need bags, they're like peat-moss bags, have you ever seen these giant bags? They're huge and two days later, they're out, they're gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin' with them? The only time I ever see'em is in the bottom of your little waste basket, there's two or three, that look like they've been through some horrible experience... tortured, interrogated, I don't know what happened to them...I once went out with a girl who's left a little zip-lock-baggy of cotton-balls over my house. I don't know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town: ""Let's move on""... The dating world is a world of pressure. Let's face it: a date is a job-interview, that lasts all night. The only difference between a date and a job-interview is: not many job-interviews is there a chance you'll end up naked at the end of it...ya know: ""Well, Bill, the boss thinks you're the man for the position, why don't you strip down and meet some of the people you'll be workin' with?"".","good-news,-bad-news",1
"JERRY","Wouldn't it be great if you could ask a woman what she's thinking?","good-news,-bad-news",1
"GEORGE","What a world that would be, if you just could ask a woman what she's thinkin'.","good-news,-bad-news",1
"JERRY","Ya know, instead, I'm like a detective: I've gotta pick up clues, the whole thing is a murder investigation.","good-news,-bad-news",1
"GEORGE","Listen, listen, don't get worked up, 'cause you're gonna know the whole story the minute she steps off the plane.","good-news,-bad-news",1
"JERRY","Really? How?","good-news,-bad-news",1
"GEORGE","'Cause it's all in the greeting.","good-news,-bad-news",1
"JERRY","Uh-huh.","good-news,-bad-news",1
"GEORGE","All right, if she puts the bags down before she greets you, that's a good sign.","good-news,-bad-news",1
"JERRY","Right.","good-news,-bad-news",1
"GEORGE","Ya know, anything in the, in the ""lip-area"" is good.","good-news,-bad-news",1
"JERRY","""Lip-area"".","good-news,-bad-news",1
"GEORGE","Ya know a hug: definitely good.","good-news,-bad-news",1
"JERRY","Hug is definitely good.","good-news,-bad-news",1
"GEORGE","Sure.","good-news,-bad-news",1
"JERRY","Although what if it's one of those hugs where the shoulders are touching, the hips are eight feet apart?","good-news,-bad-news",1
"GEORGE","That's so brutal, I hate that.","good-news,-bad-news",1
"JERRY","Ya know how they do that?","good-news,-bad-news",1
"GEORGE","That's why, ya know, a shake is bad.","good-news,-bad-news",1
"JERRY","Shake is bad, but what if it's the ""two-hander""? The hand on the bottom, the hand on the top, the warm look in the eyes?","good-news,-bad-news",1
"GEORGE","Hand-sandwich.","good-news,-bad-news",1
"JERRY","Right.","good-news,-bad-news",1
"GEORGE","I see, well, that's open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes...(suddenly a woman approaches Jerry from behind and puts her hands over Jerry's eyes)","good-news,-bad-news",1
"LAURA","Guess who?","good-news,-bad-news",1
"JERRY","Hey, hey.","good-news,-bad-news",1
"LAURA AND JERRY","Heeeey! (they take each others hands like they're planning to do a folk dance; George is looking puzzled)","good-news,-bad-news",1
"JERRY","It's good to see you.","good-news,-bad-news",1
"LAURA","Hi.","good-news,-bad-news",1
"JERRY","This is my friend George.","good-news,-bad-news",1
"LAURA","(shakes George's hand) Hi, how nice to meet you.","good-news,-bad-news",1
"GEORGE","Hi, how are you?","good-news,-bad-news",1
"JERRY","This is Laura.","good-news,-bad-news",1
"GEORGE","Laura, sure.","good-news,-bad-news",1
"JERRY","(to Laura) I can't believe you're here.","good-news,-bad-news",1
"GEORGE AND JERRY","Ooh yeah, the bags, sure. (they pick up the bags)","good-news,-bad-news",1
"LAURA","Oh, thank you.","good-news,-bad-news",1
"JERRY","(privately to George) Now that was an interesting greeting, did you notice that, George?","good-news,-bad-news",1
"GEORGE","Yes, the ""surprise-blindfold-greeting"". That wasn't in the manual, I don't know.","good-news,-bad-news",1
"JERRY","So uh, what do ya think?","good-news,-bad-news",1
"LAURA","Ooohhh, wow! This place isn't so bad.","good-news,-bad-news",1
"JERRY","Yeah, it kind a motivates me to work on the road...So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?","good-news,-bad-news",1
"LAURA","(laughs) Actually uhm, do you have any wine?","good-news,-bad-news",1
"LAURA","Oh, do, do you mind if I turn this down? (points to the lamp)","good-news,-bad-news",1
"JERRY","Uh, no, yeah, go right ahead. (she turns down the lamp)","good-news,-bad-news",1
"LAURA","Uh, Jerry, uh, I was wondering: would it be possible, and if it's not, fine, for me to stay here tomorrow night too?","good-news,-bad-news",1
"JERRY","Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin' anything?","good-news,-bad-news",1
"LAURA","No, I'd love to do something, uh, I have my seminar in the morning, then after that I'm right open.","good-news,-bad-news",1
"JERRY","Really? What would you like to do?","good-news,-bad-news",1
"LAURA","Well...now I know this sounds touristy, but I'd just love to go on one of those five-hour-boat-rides around Manhattan.","good-news,-bad-news",1
"JERRY","(doubtfully) Yeah, we could do that...why not, why not. (pours the wine) I'm just, I'm really glad you're here. (the phone rings; he picks it up) Yeah, hello...yes...yes, she is, hold on. (to Laura) Uhm, it's for you.","good-news,-bad-news",1
"LAURA","(she takes the phone) Hello?...Hi!...no no it was great, right on time...no, I, I'm gonna stay here tomorrow...yes, yes it's fine..no, we're goin' on a boat-ride...don't be silly...I'm not gonna have this conversation...look I, I'll call you tomorrow...OK, bye (she hangs up the phone). Never get engaged.","good-news,-bad-news",1
"JERRY","You're engaged?","good-news,-bad-news",1
"LAURA","You, you really have no idea what it's like until you actually do it and I'm on this emotional roller coaster.","good-news,-bad-news",1
"JERRY","You're engaged? (still can't believe it)","good-news,-bad-news",1
"LAURA","Ya know, I can't believe it myself sometimes. You have to start thinking in terms of ""we"", uh, it's a very stressful situation.","good-news,-bad-news",1
"JERRY","You're engaged! (like he's answering his own question)","good-news,-bad-news",1
"LAURA","Yeah...yeah, he's a great guy...","good-news,-bad-news",1
"JERRY","Yeah.","good-news,-bad-news",1
"LAURA","You'd really like him...ya know, I can't wait to get on that boat.","good-news,-bad-news",1
"JERRY","Me too!","good-news,-bad-news",1
"JERRY","I swear, I have absolutely no idea what women are thinking. I don't get it, OK? I, I, I admit, I, I'm not getting the signals. I am not getting it! Women, they're so subtle, their little...everything they do is subtle...men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, that's it!...It's the only thing we know for sure, it really is: we want women. How do we get them? Oh, we don't know 'bout that, we don't know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas we've had so far...The car-horn-honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks: (imitates horn).","good-news,-bad-news",1
"THE END"," THE END","good-news,-bad-news",1
"JERRY","So, I'm on line at the supermarket. Two women in front of me. One of","the-stakeout",2
"AUDIENCE","Cheque","the-stakeout",2
"JERRY","Cheque. Now, the fact is, if it's a woman in front of you that's","the-stakeout",2
"JERRY","What's that one?","the-stakeout",2
"ELAINE","""Coccoon II: The Return"". I guess they didn't like it up there...","the-stakeout",2
"JERRY","Maybe they came back for Chinese food. Y'know Maureen Stapleton, if","the-stakeout",2
"ELAINE","Okay, what're we doing here? I have seen *everything*.","the-stakeout",2
"JERRY","Oh yeah? I don't believe you've seen... this.","the-stakeout",2
"ELAINE","Oh, lovely...","the-stakeout",2
"JERRY","Yeah...","the-stakeout",2
"ELAINE","What do you think their parents think?","the-stakeout",2
"JERRY","""So, uh, what's your son doing now, Dr. Stevens?""","the-stakeout",2
"ELAINE","Y'know what? This would be a really funny gift for Pamela's","the-stakeout",2
"JERRY","Pamela? Do I know her?","the-stakeout",2
"ELAINE","Yeah, you met her when we were going out.","the-stakeout",2
"JERRY","Oh yeah, right...","the-stakeout",2
"ELAINE","You have *no* idea who I'm talking about, do you?","the-stakeout",2
"JERRY","(quickly) No.","the-stakeout",2
"ELAINE","Blonde hair remember? Glasses? (pause) Have you *totally* blocked","the-stakeout",2
"JERRY","Riverside Drive.","the-stakeout",2
"ELAINE","Right! In fact... No, never mind...","the-stakeout",2
"JERRY","Well, what is it?","the-stakeout",2
"ELAINE","Well, a bunch of people are getting together tomorrow night at some","the-stakeout",2
"JERRY","Wait a second, wait a second. We could work out a little deal here.","the-stakeout",2
"ELAINE","What little deal?","the-stakeout",2
"JERRY","I will go to that, if you go with me to a little family wedding I","the-stakeout",2
"ELAINE","A *wedding*!? Have you *lost* it, man?","the-stakeout",2
"JERRY","Y'know, my parents are coming in for this...","the-stakeout",2
"ELAINE","They're coming in?","the-stakeout",2
"JERRY","Yeah, tomorrow.","the-stakeout",2
"ELAINE","Hey, did your father ever get that hair weave?","the-stakeout",2
"JERRY","No, no... Still doin' the big *sweep* across.","the-stakeout",2
"ELAINE","Why does he do that?","the-stakeout",2
"JERRY","Doesn't think anyone can tell?","the-stakeout",2
"JERRY","So c'mon, do we have a deal?","the-stakeout",2
"ELAINE","A *wedding*?","the-stakeout",2
"JERRY","There's a lot of people to mock...","the-stakeout",2
"ELAINE","Alright, what the Hell.","the-stakeout",2
"JERRY","Great!","the-stakeout",2
"WOMAN","When you're dead, you're dead. That's it. You're not goin'","the-stakeout",2
"ELAINE","C'mon lets go, c'mon...","the-stakeout",2
"JERRY","Was I supposed to bring something?","the-stakeout",2
"ELAINE","You could have.","the-stakeout",2
"JERRY","I met her *one* time...","the-stakeout",2
"ELAINE","It is not necessary.","the-stakeout",2
"JERRY","What did you say then?","the-stakeout",2
"ELAINE","Sssshhhhhh!!!","the-stakeout",2
"PAMELA","Hi","the-stakeout",2
"ELAINE","Hi Pamela, you remember Jerry.","the-stakeout",2
"PAMELA","Yes, we met.","the-stakeout",2
"JERRY","Hi, happy birthday.","the-stakeout",2
"PAMELA","Ahh, everybody, this is Elaine and Jerry.","the-stakeout",2
"GUESTS","Hi","the-stakeout",2
"JERRY","I didn't bring anything.","the-stakeout",2
"PAMELA","Ahh, I put you two right here.","the-stakeout",2
"JERRY","Oh, Okay (turns to rest of table) I'm sorry, I didn't know what","the-stakeout",2
"VANESSA","How big a tip do you think it'd take to get him to stop?","the-stakeout",2
"JERRY","I'm in for five...","the-stakeout",2
"VANESSA","I'll supply the hat.","the-stakeout",2
"JERRY","(To himself) Uh-oh... What do we have here...","the-stakeout",2
"VANESSA","Why don't you relax and take your jacket off?","the-stakeout",2
"JERRY","Oh, I can't-- I have a tendency to get chilly.","the-stakeout",2
"VANESSA","How masculine...","the-stakeout",2
"JERRY","Plus I'm wearing short sleeves, I don't want to expose my tattoos.","the-stakeout",2
"ROGER","(To Vanessa) Hey, this guy says he knows Bricker...","the-stakeout",2
"VANESSA","Oh, you know Bricker! From where?","the-stakeout",2
"JERRY","(To himself) What's going on here? Gotta be her boyfriend, she's","the-stakeout",2
"VANESSA","(To Jerry) How do you know Pamela?","the-stakeout",2
"JERRY","Friend of a friend. And you?","the-stakeout",2
"VANESSA","We went to law school together.","the-stakeout",2
"ELAINE","Oh, Jerry!","the-stakeout",2
"JERRY","(To himself) Oh no, not *now*...","the-stakeout",2
"ELAINE","I had this dream last night and you were in it.","the-stakeout",2
"JERRY","Oh really... (To himself) Oh God, I gotta get out of this...","the-stakeout",2
"ELAINE","You were you, but, you weren't you...","the-stakeout",2
"JERRY","No kidding... (To himself) Why is this happening? Please, make","the-stakeout",2
"ELAINE","I think, I think we were in my house where I grew up, and you were","the-stakeout",2
"JERRY","(To himself) This is *brutal*...","the-stakeout",2
"ELAINE","You turned around and you had these wooden teeth...","the-stakeout",2
"JERRY","How do you like that... (To himself) Can I turn now? Is this","the-stakeout",2
"ELAINE","Jerry? Are you listening to me?","the-stakeout",2
"JERRY","Yes, I *heard* you.","the-stakeout",2
"PAMELA","Elaine, what's the name of that jewelry store you took me to that","the-stakeout",2
